GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200326896,4200326896,Allegheny County - COUNTY SUBDIVISION AND PLACE - Forward township,Forward township,3376,1521,19.82,0.87,18.95,178.2,80.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032689699999,420032689699999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Forward township - Forward township,Forward township,3376,1521,19.82,0.87,18.95,178.2,80.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200327120,4200327120,Allegheny County - COUNTY SUBDIVISION AND PLACE - Fox Chapel borough,Fox Chapel borough,5388,2186,7.87,0.01,7.87,685.0,277.9
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032712027120,420032712027120,Allegheny County - COUNTY SUBDIVISION AND PLACE - Fox Chapel borough - Fox Chapel borough,Fox Chapel borough,5388,2186,7.87,0.01,7.87,685.0,277.9
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200327552,4200327552,Allegheny County - COUNTY SUBDIVISION AND PLACE - Franklin Park borough,Franklin Park borough,13470,4882,13.53,0.00,13.52,996.1,361.0
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032755227552,420032755227552,Allegheny County - COUNTY SUBDIVISION AND PLACE - Franklin Park borough - Franklin Park borough,Franklin Park borough,13470,4882,13.53,0.00,13.52,996.1,361.0
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200327608,4200327608,Allegheny County - COUNTY SUBDIVISION AND PLACE - Frazer township,Frazer township,1157,540,9.34,0.00,9.34,123.8,57.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032760899999,420032760899999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Frazer township - Frazer township,Frazer township,1157,540,9.34,0.00,9.34,123.8,57.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200329432,4200329432,Allegheny County - COUNTY SUBDIVISION AND PLACE - Glassport borough,Glassport borough,4483,2255,1.79,0.20,1.58,2834.5,1425.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032943229432,420032943229432,Allegheny County - COUNTY SUBDIVISION AND PLACE - Glassport borough - Glassport borough,Glassport borough,4483,2255,1.79,0.20,1.58,2834.5,1425.8
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200329592,4200329592,Allegheny County - COUNTY SUBDIVISION AND PLACE - Glenfield borough,Glenfield borough,205,96,0.99,0.17,0.82,250.0,117.1
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032959229592,420032959229592,Allegheny County - COUNTY SUBDIVISION AND PLACE - Glenfield borough - Glenfield borough,Glenfield borough,205,96,0.99,0.17,0.82,250.0,117.1
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200329732,4200329732,Allegheny County - COUNTY SUBDIVISION AND PLACE - Glen Osborne borough,Glen Osborne borough,547,216,0.56,0.14,0.43,1276.8,504.2
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420032973229732,420032973229732,Allegheny County - COUNTY SUBDIVISION AND PLACE - Glen Osborne borough - Glen Osborne borough,Glen Osborne borough,547,216,0.56,0.14,0.43,1276.8,504.2
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200331256,4200331256,Allegheny County - COUNTY SUBDIVISION AND PLACE - Green Tree borough,Green Tree borough,4432,2072,2.08,0.00,2.08,2135.5,998.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420033125631256,420033125631256,Allegheny County - COUNTY SUBDIVISION AND PLACE - Green Tree borough - Green Tree borough,Green Tree borough,4432,2072,2.08,0.00,2.08,2135.5,998.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200332328,4200332328,Allegheny County - COUNTY SUBDIVISION AND PLACE - Hampton township,Hampton township,18363,7555,16.21,0.01,16.20,1133.7,466.4
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420033232802056,420033232802056,Allegheny County - COUNTY SUBDIVISION AND PLACE - Hampton township - Allison Park CDP (part),Allison Park CDP (part),11752,4993,10.19,0.00,10.19,1153.5,490.1
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420033232899999,420033232899999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Hampton township - Remainder of Hampton township,Remainder of Hampton township,6611,2562,6.02,0.01,6.01,1100.0,426.3
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200332624,4200332624,Allegheny County - COUNTY SUBDIVISION AND PLACE - Harmar township,Harmar township,2921,1550,6.33,0.45,5.88,496.7,263.6
0500000US42003,42003,"Allegheny County, Pennsylvania",0700000US420033262499999,420033262499999,Allegheny County - COUNTY SUBDIVISION AND PLACE - Harmar township - Harmar township,Harmar township,2921,1550,6.33,0.45,5.88,496.7,263.6
0500000US42003,42003,"Allegheny County, Pennsylvania",0600000US4200332832,4200332832,Allegheny County - COUNTY SUBDIVISION AND PLACE - Harrison township,Harrison township,10461,5177,7.89,0.52,7.36,1421.3,703.4
